URLNO ,PNO,RFN,VAL
4,1,1,ebola
4,1,6,1976
4,1,7,in(1976)
4,1,8,ebola virus
4,2,1,ebola
4,2,6,14-Mar
4,2,6,1976
4,2,7,in(march 2014)
4,2,7,in(1976)
4,2,8,ebola virus
4,3,6,2002
4,3,6,1976
4,3,6,1975
4,3,6,1980
4,3,6,1979
4,3,7,in(1975 and 1980)
4,3,7,in(a 2002)
4,3,8,marburg virus
4,4,1,ebola
4,4,6,1976
4,4,6,2013
4,4,6,2014
4,4,8,ebola virus
4,5,1,ebola
4,5,6,14-Dec
4,5,6,8 days later
4,5,6,14-Sep
4,5,6,14-Aug
4,5,7,on(8 august 2014)
4,5,7,by(late august 2014)
4,5,7,on(30 september 2014)
4,5,7,on(29 december 2014)
4,6,5,050 kg of personal protective equipment 
4,6,6,2122
4,7,1,ebola
4,8,1,ebola
4,8,6,2014
4,9,1,ebola
4,9,2,infection
4,9,8,ebola virus
4,10,1,ebola
4,10,6,5 days later
4,10,8,ebola virus
3,11,5,or vaccine 
3,11,4,This includes either oral rehydration therapy 
3,11,4,or giving intravenous fluids 
3,11,6,1976
3,11,6,15-Apr
3,11,6,2013
3,11,7,in(1976)
22,12,1,ebola hemorrhagic fever
22,12,2,fever
22,12,6,2-Mar
22,12,6,2001
22,13,6,1976
22,14,1,ebola
22,14,2,sick
22,14,6,8-Nov
22,15,6,8-Jan
22,15,6,7-Dec
157,17,6,14-Apr
157,17,7,in(april 2014)
157,18,6,2014
157,19,6,next day
5,21,1,ebola
5,21,6,1976
5,21,7,in(1976)
4,22,1,ebola
4,22,6,1976
4,22,7,in(1976)
4,22,8,ebola virus
4,23,1,ebola
4,23,6,14-Mar
4,23,6,1976
4,23,7,in(march 2014)
4,23,7,in(1976)
4,23,8,ebola virus
3,24,6,2002
3,24,6,1976
3,24,6,1975
3,24,6,1980
3,24,6,1979
3,24,7,in(1975 and 1980)
3,24,7,in(a 2002)
3,24,8,marburg virus
3,25,1,ebola
3,25,6,1976
3,25,6,2013
3,25,6,2014
3,25,8,ebola virus
5,26,1,ebola
5,26,2,infection
5,26,5,This happens because they may not have been wearing personal protection equipment or were not properly applying infection prevention 
5,27,1,ebola
5,27,2,infection
5,27,5,gloves and personal protective equipment 
5,27,5,instructions on proper removal and disposal of PPE
5,27,8,ebola virus
5,28,1,ebola
5,28,5,Persons who have died of Ebola must be handled using strong protective clothing and gloves 
5,29,5,condoms
5,29,5,it is important for men to avoid sexual intercourse
5,29,6,7 weeks after
5,29,7,at(least 7 weeks after)
5,29,7,during(7 weeks after)
5,30,1,ebola
4,31,1,ebola
4,31,6,14-Mar
4,31,6,1976
4,31,7,in(march 2014)
4,31,7,in(1976)
4,31,8,ebola virus
4,32,6,2014
4,32,8,marburgvirus
4,32,8,ebolavirus
4,32,8,cuevavirus
4,32,8,virus family Filoviridae
4,33,1,ebola
4,33,6,2014
4,33,7,in(guinea during the 2014)
3,34,1,ebola
3,34,6,14-Mar
3,34,6,13-Dec
3,34,6,15-Apr
3,34,7,in(march 2014)
3,35,1,ebola
3,35,6,14-Dec
3,35,6,8 days later
3,35,6,14-Sep
3,35,6,14-Aug
3,35,7,on(8 august 2014)
3,35,7,by(late august 2014)
3,35,7,on(30 september 2014)
3,35,7,on(29 december 2014)
159,36,1,ebola
159,36,6,2014
159,36,8,ebola virus
159,37,1,ebola
159,37,6,2014
159,37,8,ebola virus
159,38,1,ebola
159,38,6,1976
159,38,7,in(1976)
159,38,8,ebola virus
159,39,1,ebola
159,39,6,1976
159,39,7,since(1976)
159,39,8,ebola virus
159,40,6,2003
159,40,6,2007
4,41,1,ebola
4,41,6,1976
4,41,7,in(1976)
4,41,8,ebola virus
4,42,1,ebola
4,42,6,14-Mar
4,42,6,1976
4,42,7,in(march 2014)
4,42,7,in(1976)
4,42,8,ebola virus
159,43,1,ebola
159,43,6,1976
159,43,7,in(1976)
160,44,1,ebola
160,44,6,14-Mar
160,44,6,1976
160,44,7,in(march 2014)
160,44,7,since(its discovery in 1976)
160,45,1,ebola
160,46,6,14-Mar
160,46,7,on(23 march 2014)
160,47,1,ebola
160,49,1,ebola
160,50,1,ebola
160,50,1,aids
162,51,1,ebola
162,51,2,death
162,51,6,2014
162,51,8,ebola virus
4,52,1,ebola
4,52,6,14-Mar
4,52,6,1976
4,52,7,in(march 2014)
4,52,7,in(1976)
4,52,8,ebola virus
160,53,6,14-Mar
160,53,7,on(23 march 2014)
160,54,1,ebola
163,57,1,ebola
163,57,6,1976
163,57,7,in(1976)
163,58,1,ebola
163,58,1,rabies
163,59,1,ebola
163,60,1,ebola
163,60,6,2006
163,60,6,2005
163,60,7,in(2005 or 2006)
4,61,1,ebola
4,61,6,1976
4,61,7,in(1976)
4,61,8,ebola virus
4,62,1,ebola
4,62,6,14-Mar
4,62,6,1976
4,62,7,in(march 2014)
4,62,7,in(1976)
4,62,8,ebola virus
165,63,1,ebola
165,63,6,1976
165,63,7,in(1976)
3,64,1,ebola
3,64,5,or vaccine 
3,64,4,This includes either oral rehydration therapy 
3,64,4,or giving intravenous fluids 
3,64,6,1976
3,64,6,15-Apr
3,64,6,2013
3,64,7,in(1976)
3,65,6,2002
3,65,6,1976
3,65,6,1975
3,65,6,1980
3,65,6,1979
3,65,7,in(1975 and 1980)
3,65,7,in(a 2002)
3,65,8,marburg virus
4,66,5,use of personal protective equipment 
4,67,1,ebola
4,67,2,infection
4,67,5,and gloves 
4,67,5,sterile gloves 
4,67,8,ebola virus
4,68,1,ebola
4,68,2,infection
4,69,1,ebola
4,69,8,ebola virus
4,69,8,marburg virus
4,70,2,infection
164,71,1,ebola
164,71,6,2014
160,72,1,ebola
160,72,6,14-Mar
160,72,6,1976
160,72,7,in(march 2014)
160,72,7,since(its discovery in 1976)
160,73,1,ebola
160,74,6,14-Mar
160,74,7,on(23 march 2014)
160,75,1,ebola
160,75,6,14-Aug
160,75,7,in(august 2014)
160,76,1,ebola
160,77,1,ebola
160,79,6,13-Dec
160,79,7,in(december 2013)
160,81,1,ebola
160,81,6,14-Mar
160,81,6,1976
160,81,7,in(march 2014)
160,81,7,since(its discovery in 1976)
160,82,6,14-Mar
160,82,7,on(23 march 2014)
160,83,1,ebola
160,84,1,ebola
170,85,1,ebola
170,85,6,2014
170,85,7,on(6 october 2014)
170,85,8,ebola virus
160,86,1,ebola
164,89,1,ebola
164,89,6,2014
